file | fork-added lines missing | upstream-added lines missing
AGENTS.md | 0 | 0
bin/backends/herdr.sh | 0 | 0
bin/fm-bootstrap.sh | 0 | 0
bin/fm-classify-lib.sh | 13 | 4
bin/fm-pr-check.sh | 0 | 0
bin/fm-pr-merge.sh | 0 | 0
bin/fm-promote.sh | 14 | 4
bin/fm-send.sh | 13 | 7
bin/fm-spawn.sh | 4 | 0
bin/fm-task-inbox-lib.sh | 0 | 0
bin/fm-teardown.sh | 0 | 0
bin/fm-test-run.sh | 0 | 0
bin/fm-wake-lib.sh | 0 | 0
docs/architecture.md | 1 | 1
docs/configuration.md | 0 | 0
docs/documentation-audiences.json | 0 | 0
docs/scripts.md | 0 | 0
tests/fm-bootstrap.test.sh | 0 | 0
tests/fm-captain-hold-lifecycle.test.sh | 0 | 0
tests/fm-pr-check-security.test.sh | 0 | 0
tests/fm-pr-merge.test.sh | 0 | 0
tests/fm-send-inbox.test.sh | 0 | 3
tests/fm-send-remote-delivery.test.sh | 0 | 0
tests/fm-task-delivery.test.sh | 0 | 0
tests/fm-task-inbox.test.sh | 0 | 0
tests/fm-teardown.test.sh | 0 | 0
tests/fm-wake-drain-open-decisions-cursor.test.sh | 0 | 0
tests/lib.sh | 0 | 0
